parameter	value
candidate_surface_integrated_hmp_result	26 profiles; added_rows=14; zero_mass_violations=0; max delta vs postprocessor counts=0, F1=1.11e-16; max delta vs offline raw-cache rule counts=0, F1=1.11e-16; airskin pooled F1=0.852821, TP=1043, FP=308, FN=52, mean L1=22.538526 pp, Pearson=0.980924; gastrooral pooled F1=0.928571, TP=78, FP=9, FN=3, mean L1=48.986991 pp, Pearson=0.882277; outer runtime 430.64 s and max RSS 3821056 kB
candidate_surface_integrated_hmp_decision	experimental_not_default; integrated wrapper surface mechanics match postprocessor/offline rule across cached HMP, but rescued rows still carry zero abundance mass and need a validated nonzero abundance policy before default promotion
candidate_surface_abundance_policy_scope	HMP-only fixed-call sweep over integrated candidate-surface rows; assigns nonzero mass only to candidate_surface_added rows and normalizes profile abundance; panels are HMP airskin samples0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28 plus HMP gastrooral samples0,6
candidate_surface_abundance_policy_result	114 nonzero candidate-only mass policies tested; best mean-L1 and best sample-safe policy was normalized_depth_alpha2, assigning 2 * max(s,u Normalized_abundance_depth_max) to appended rows before normalization; mean per-profile delta L1=-0.310173 pp; worsened_samples=0; mean added mass before normalization=0.018568; runtime 49.78 s and max RSS 3805916 kB
candidate_surface_abundance_policy_decision	diagnostic_only_not_default; HMP-only positive abundance signal is small and needs cross-panel validation before any default or wrapper promotion
candidate_abundance_policy_wrapper_option	scripts/minco_profile_calibrated.py --candidate-abundance-policy zero|normalized-depth-alpha2; default zero
candidate_abundance_policy_wrapper_rule	normalized-depth-alpha2 treats 2 * max(s,u Normalized_abundance_depth_max) as normalized-scale candidate mass, then converts to raw scale with base_called_raw_mass before final output normalization
candidate_surface_integrated_hmp_abundance_result	26 cached HMP wrapper replays with --candidate-surface-switch accession-ani90-xny100-br01-af70 and --candidate-abundance-policy normalized-depth-alpha2; added_rows=14; nonzero_added_rows=14; max raw-mass formula delta=8.881784197001252e-16; max delta vs fixed-call policy sweep counts=0, L1=3.38e-14, Pearson=4.44e-16; airskin mean L1=22.421594 pp and Pearson=0.981091; gastrooral mean L1=46.357942 pp and Pearson=0.896281; outer runtime 432.55 s and max RSS 3801932 kB
candidate_surface_integrated_hmp_abundance_decision	experimental_not_default; validates HMP wrapper mechanics for normalized-depth-alpha2 but full cross-panel wrapper validation and raw-side candidate channel beyond HMP remain incomplete
cross_panel_candidate_abundance_policy_scope	Cached fixed-call sweep over the selected cross-panel candidate call set from Toy Mouse samples5,6,7; HMP airskin samples0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28; HMP gastrooral samples0,6; CAMI3 source-readmap samples0,1,2. Call rule fixed to ANI>=0.90; XnY>=100; breadth>=0.01; real_af>=0.70.
cross_panel_candidate_abundance_policy_result	114 nonzero candidate-only mass policies tested. Best mean-L1 policy raw_abundance_scaled_alpha2_cap0.05 had mean per-profile delta L1=-1.079573 pp but worsened 1 sample and 1 panel. Best sample-safe policy normalized_depth_alpha2 had mean per-profile delta L1=-0.743320 pp, worsened_samples=0, worsened_panels=0, mean added mass before normalization=0.019027; runtime 116.76 s and max RSS 5318964 kB.
cross_panel_candidate_abundance_policy_decision	diagnostic_only_not_default; normalized_depth_alpha2 is the first cross-panel supported nonzero rescued-row abundance policy and motivated wrapper-level validation
cross_panel_candidate_abundance_wrapper_scope	Cached wrapper-level validation over Toy Mouse samples5,6,7; CAMI3 source-readmap samples0,1,2; HMP airskin samples0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28; HMP gastrooral samples0,6. Toy Mouse and CAMI3 use --candidate-rescue-switch emitted-ani90-xny100-br01-af70 plus --candidate-abundance-policy normalized-depth-alpha2. HMP uses integrated accession-level candidate-surface outputs with the same abundance policy.
cross_panel_candidate_abundance_wrapper_result	32 wrapper profiles scored; candidate_added_rows=20; nonzero_candidate_rows=20; raw-mass formula max delta=3.552713678800501e-15. Call set matched fixed-call policy sweep with counts=0 and F1=1.11e-16, while abundance differed from old fixed-call emitted profiles (max L1=4.2 pp, Pearson=0.0302). Against a matched wrapper zero-mass baseline, normalized-depth-alpha2 had mean official L1 delta=-0.722425 pp, max_worse_L1=0, mean Pearson delta=0.004448, worsened_samples=0. Runtime 294.54 s and max RSS 5479568 kB.
cross_panel_candidate_abundance_wrapper_decision	selected_candidate_preset_component; wrapper-level evidence supports normalized-depth candidate abundance as sample-safe relative to matched zero-mass wrapper output, but broad release/Sylph-beating claims remain blocked
candidate_default_comparison_scope	Matched four-panel comparison of current MinCO, wrapper candidate strategy, and Sylph: Toy Mouse samples5,6,7; CAMI3 source-readmap samples0,1,2; HMP airskin samples0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28; HMP gastrooral samples0,6.
candidate_default_comparison_result	Wrapper candidate strategy versus current MinCO: panel regressions f1_worse=0,l1_worse=0,pearson_worse=0; mean deltas F1=+0.007199, official L1=-1.992106 pp, Pearson=+0.013704. Versus Sylph: F1_wins=1/4, L1_wins=0/4, Pearson_wins=0/4.
candidate_default_comparison_decision	promote_candidate_for_minco_default_study_not_release_claim; dominates current MinCO on matched panels but does not support broad Sylph-beating claims
candidate_profile_preset_option	scripts/minco_profile_default.py --profile-preset current|candidate; environment override MINCO_PROFILE_PRESET
candidate_profile_preset_rule	candidate preset keeps --strategy universal-auto-exact and injects --candidate-rescue-switch emitted-ani90-xny100-br01-af70, --candidate-surface-switch accession-ani90-xny100-br01-af70, and --candidate-abundance-policy normalized-depth-alpha2 unless explicitly supplied by the caller
candidate_profile_preset_sidecar	candidate preset discovers candidate_surface_taxmap.tsv, accession_species_taxmap.tsv, or accession_taxmap.tsv beside --ref; deployment override MINCO_PROFILE_CANDIDATE_SURFACE_TAXMAP
candidate_profile_preset_decision	promoted_to_selected_default; --profile-preset current preserves the previous default; broad release/Sylph-beating claims remain blocked
selected_profile_default	scripts/minco_profile_default.py uses --profile-preset candidate by default as of 2026-06-29; previous default is available with --profile-preset current or MINCO_PROFILE_PRESET=current
candidate_preset_replay_scope	Cached table-mode replay through scripts/minco_profile_default.py --profile-preset candidate on 32 profiles: Toy Mouse samples5,6,7; CAMI3 source-readmap samples0,1,2; HMP airskin samples0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28; HMP gastrooral samples0,6.
candidate_preset_replay_result	32 profiles scored; call counts matched the prior explicit-wrapper candidate strategy with max deltas counts=0 and F1=1.11e-16; max L1 delta=0.14 pp and max Pearson delta=6.88e-05, from HMP samples where the preset uses universal-auto-exact while the prior HMP explicit replay used universal; candidate_added_rows=20, nonzero_candidate_rows=20, max candidate raw-mass formula delta=3.55e-15.
candidate_preset_replay_runtime	Called-row preset replay elapsed 9:36.79 and max RSS 5122588 kB; an earlier report-all replay was abandoned after /tmp filled on HMP airskin sample25, confirming that release validation should not use report-all for broad cached HMP replays.
candidate_preset_replay_decision	preset_validated_for_calls_and_candidate_abundance_accounting; promoted_to_selected_default while broad release/Sylph-beating claims remain blocked
current_default_strategy_manifest	results/current_default_strategy_manifest.tsv records the selected candidate preset, universal-auto-exact base strategy, candidate rescue/surface switches, normalized-depth-alpha2 candidate abundance, previous-default compatibility path, and pre_release_candidate claim boundary
abundance_allocation_gap_manifest	results/abundance_allocation_gap_manifest.tsv and ABUNDANCE_ALLOCATION_GAP.md record the remaining abundance blocker from cached abundance decomposition, fixed-call allocator sweep, and candidate-vs-baseline TSVs.
abundance_allocation_gap_decision	The selected candidate preset improves MinCO versus the previous default, but still loses abundance L1 to Sylph on all four cached comparison panels. The dominant remaining gap is matched-call mass allocation on most cached samples; the later selected-call oracle narrows call-recovery-first behavior to one cached HMP airskin sample. The best cached fixed-call allocator signal, blend_current_genus_realloc_xny_a0.25, remains unpromoted until wrapper/raw-output validation and independent holdout checks.
abundance_strategy_decision_matrix	results/abundance_strategy_decision_matrix.tsv and ABUNDANCE_STRATEGY_DECISION.md record a promote/reject matrix for abundance strategy branches from cached audit TSVs.
abundance_strategy_decision_result	The selected candidate preset remains the default component set, including normalized-depth-alpha2 for candidate rows. Fixed-call formula sweeps, adaptive output switches, supervised abundance calibrators, edge-level mass redistribution, selected-default genus-XnY blend variants, selected-call mass transforms, guarded selected-call mass transforms, and unguarded selected-call feature allocators are not promoted. The refined guarded feature allocator is now implemented as an opt-in switch, wrapper-parity validated, fixed-call score-replay validated, and supported by an independent marine diagnostic replay, but it remains experimental/off because the independent-holdout inventory found no unused release-grade profile set in the current cache.
abundance_strategy_next_target	Do not tune another panel-mean-only allocator into the default. The next useful direction is creating/recovering release-grade independent holdout profile pairs for guarded-genus-hit-breadth-a002-xny230, while keeping targeted call recovery for the one cached sample where the selected call set is still insufficient.
candidate_callset_oracle_feasibility_scope	Selected-candidate cached profiles across Toy Mouse samples5-7, CAMI3 source-readmap samples0-2, HMP airskin samples0/1/3/4/5/6/7/9/10/11/13/14/15/16/17/18/19/20/21/22/23/24/25/28, and HMP gastrooral samples0/6. Uses the same GTDB mapping helpers as official score scripts.
candidate_callset_oracle_feasibility_result	Selected profile rescoring validates with max_abs_delta=4.54747350886e-13. A truth-aware abundance oracle constrained to the selected candidate call set can close the selected-candidate L1 gap versus Sylph on 31/32 cached samples. The one call-recovery-first case is HMP airskin sample20, with selected_oracle_minus_sylph_L1=+3.492771 pp and detected truth mass 96.211065%.
candidate_callset_oracle_feasibility_decision	Prioritize a sample-safe matched-call mass allocator as the main next abundance target; add targeted call recovery for the one insufficient-call case. This audit is diagnostic only and does not promote a truth-aware oracle or another default allocator.
selected_call_mass_transform_scope	Selected-candidate cached profiles across the same 32 samples as the call-set oracle. Calls are fixed, official GTDB row mapping is reused, candidate-added row mass is preserved, and simple base-called-row transforms are swept: raw power, uniform blend, global XnY/probability blend, and within-genus XnY blend.
selected_call_mass_transform_result	14 variants tested; baseline rescoring max_abs_delta=1.14930287509e-12. No sample-safe variant was found. Five variants improve all panel means, but the best ranked base_genus_xny_a0.10 still regresses 4/32 samples with max_worse=0.161705 pp.
selected_call_mass_transform_decision	Do not promote simple unguarded selected-call mass transforms. They support the need for a more sample-aware matched-call allocator rather than another panel-mean transform.
selected_call_mass_transform_guard_scope	Output-derived guard audit over selected-candidate cached profiles and the selected-call mass-transform sweep. The audit scores method plus threshold guard rules using MinCO output/profile-derived features. Cached selected_F1, selected_L1_pp, and selected_Pearson score columns are excluded from guard features; truth is used only for scoring, not as a feature.
selected_call_mass_transform_guard_result	Corrected no-leak audit: 5,659 nontrivial guard rules tested in memory; top 1,000 scored rules saved; top 512 rules used for leave-one-panel-out selection. In-panel sample-safe guards=822 and panel-safe guards=3,600, but LOPO mean_delta=-0.129226 pp still has one holdout mean regression and two holdouts with sample regressions; max_sample_worse=0.825999 pp.
selected_call_mass_transform_guard_decision	Do not promote guarded selected-call mass transforms. In-panel sample-safe rules do not generalize cleanly by leave-one-panel-out.
selected_call_feature_allocator_scope	Selected-candidate cached profiles across the same 32 samples as the call-set oracle. Calls are fixed, candidate-added row mass is preserved, and 264 output-feature allocator variants are tested using normalized/relative depth, breadth-depth products, ZIP-AF, probability, real-AF, and XnY targets in global and within-genus modes.
selected_call_feature_allocator_result	Baseline rescoring max_abs_delta=1.14930287509e-12. No strict sample-safe variant was found. Forty-six variants improve all panel means. The best ranked variant, genus_raw_hit_breadth_a0.02, improves mean sample L1 by 0.318875 pp but regresses 1/32 samples with max_worse=0.040714 pp.
selected_call_feature_allocator_decision	Do not promote feature-derived selected-call allocators. Existing depth/quality features contain useful panel-level signal, but not enough sample-safe evidence for a universal default.
selected_call_feature_allocator_guard_scope	Output-derived guard audit over selected-candidate cached profiles and the selected-call feature allocator sweep. Cached selected_F1, selected_L1_pp, and selected_Pearson score columns are excluded from guard features; truth is used only for scoring and rule ranking.
selected_call_feature_allocator_guard_result	Corrected no-leak audit: 5,687 nontrivial guard rules tested in memory; top 1,000 scored rules saved; top 512 rules used for leave-one-panel-out selection. In-panel sample-safe guards=1,990 and panel-safe guards=5,601. Best sample-safe rule is genus_raw_hit_breadth_a0.02 with base_mass_multi_genus_frac>=0.375015, mean_delta=-0.312324 pp, switched=28. LOPO mean_delta=-0.146115 pp with zero holdout mean regressions, zero holdouts with sample regressions, and max_sample_worse=0.
selected_call_feature_allocator_guard_decision	Candidate only: implement guarded feature allocator in the wrapper and test independent holdouts before any default promotion.
feature_allocator_wrapper_option	scripts/minco_profile_calibrated.py --abundance-feature-allocator-switch off|guarded-genus-hit-breadth-a002|guarded-genus-hit-breadth-a002-xny230; default off.
feature_allocator_wrapper_rule	guarded-genus-hit-breadth-a002 computes base_mass_multi_genus_frac over base called rows excluding candidate_rescue_added and candidate_surface_added rows. If base_mass_multi_genus_frac>=0.37501510201405147, it blends alpha=0.02 of each multi-row called genus' base raw mass toward raw*max(s,u Ref_hit_mean_depth*Ref_breadth). guarded-genus-hit-breadth-a002-xny230 adds s_xny_median>=230.3 over called rows. Candidate-added row mass is preserved. Accession/taxmap labels are used for genus grouping when available, falling back to output species_name.
feature_allocator_wrapper_parity_result	Cached wrapper-function parity on 32 selected-candidate profiles: baseline max_abs_delta=1.14930287509e-12; switched_samples=30; mean_L1_delta=-0.318866 pp; worsened_samples=0; max_worse_L1_delta=0.000000; mean_Pearson_delta=0.000361632.
feature_allocator_wrapper_parity_decision	Implemented candidate only. Do not promote to default until independent same-namespace holdouts pass.
feature_allocator_external_exactsplit_scope	Cached exact-split diagnostic replay on plant-associated samples3-5 and strainmadness samples0-2 under /tmp/minco_exactsplit_universal_20260626. Scoring uses local bacteria-scope CAMI truth via score_plant_samples3_5.py; this is not release-grade GTDB evidence.
feature_allocator_external_exactsplit_switch	guarded-genus-hit-breadth-a002 with alpha=0.02 and base_mass_multi_genus_frac>=0.37501510201405147; calls fixed to calibrated_call; abundance scored from adjusted calibrated_abundance_raw; profile taxmap labels used for genus grouping.
feature_allocator_external_exactsplit_result	Baseline validation matched cached exact-split current scores with counts=0, F1=5.55e-17, L1=2.22e-16, Pearson=2.22e-16. Candidate mean L1 delta=-0.004134 pp, improved_datasets=2, worsened_datasets=0, improved_samples=4, worsened_samples=2, max_sample_worse=0.000249, switched_samples=6, adjusted_rows=130.
feature_allocator_external_exactsplit_decision	Diagnostic support only. Keep --abundance-feature-allocator-switch off by default because two external diagnostic samples still regress slightly.
feature_allocator_release_candidate_scope	validate_feature_allocator_release_candidate.py combines cached wrapper-parity evidence on 32 selected-default profiles with external exact-split diagnostic evidence on 6 profiles. No raw profiling rerun.
feature_allocator_release_candidate_result	Combined guarded-genus-hit-breadth-a002 effect: samples=38, switched=36, improved=34, worsened=2, mean_L1_delta_pp=-0.269171, max_worse_L1_delta_pp=0.000249, mean_F1_delta=0. External regressions are plant_holdout3 delta_L1=0.000248910 and plant_holdout4 delta_L1=0.000060987.
feature_allocator_release_candidate_decision	Keep --abundance-feature-allocator-switch off by default. The branch is the strongest current abundance candidate, but strict promotion requires zero external sample L1 regressions while preserving cached-panel gains and unchanged F1.
feature_allocator_combined_guard_refinement_scope	audit_feature_allocator_combined_guard_refinement.py searches single- and two-feature output-only guards over 38 cached profiles: 32 selected-default wrapper profiles plus 6 external exact-split diagnostic profiles. No raw profiling rerun.
feature_allocator_combined_guard_refinement_result	Best strict guard is s_xny_median>=230.3. It gives mean_L1_delta_pp=-0.262955, selected_mean_L1_delta_pp=-0.311474, external_mean_L1_delta_pp=-0.004186, external_worsened=0, cached_gain_frac=0.976818, and unchanged F1 by construction.
feature_allocator_refined_guard_parity_result	guarded-genus-hit-breadth-a002-xny230 wrapper parity on the same 38 cached profiles: mismatches=0, max_s_xny_median_delta=0, applied total=33, selected_cached=29, external=4.
feature_allocator_refined_score_replay_result	guarded-genus-hit-breadth-a002-xny230 fixed-call score replay on the same 38 cached profiles: baseline validation counts=0, F1=1.11e-16, L1=1.15e-12, Pearson=5.55e-16; switched=33, improved=33, worsened=0, mean_L1_delta_pp=-0.262955, selected_mean_L1_delta_pp=-0.311474, external_mean_L1_delta_pp=-0.004186, max_worse_L1_delta_pp=0.000000, mean_F1_delta=0.
feature_allocator_refined_marine_diagnostic_result	guarded-genus-hit-breadth-a002-xny230 replay on independent cached marine exact-split samples0 and 2 using conservative GTDB taxid-transfer truth: min_truth_mass_mapped_pct_bacteria_archaea=74.120670, baseline raw-vs-calibrated L1 delta=6.63358257214e-15, switched=2/2, improved=2, worsened=0, mean_L1_delta=-0.000521634, max_worse_L1=-0.000503001, mean_F1_delta=0.
feature_allocator_refined_holdout_inventory_result	Release-grade independent holdout inventory: release_panels=4, release_samples=32, selected_cache_overlap=32, independent_release_ready_samples=0. HMP omitted samples 2,8,12,26,27 have truth=5/5, minco_profile=0/5, sylph_profile=0/5, ready_pairs=0/5. Marine diagnostic support is independent but nonrelease.
feature_allocator_refined_guard_decision	Implemented candidate only. Score replay passes and matches the rounded guard estimate within 3.10619365229e-07; the independent marine diagnostic also supports sample safety, but the current cache lacks unused release-grade profile pairs, so keep off by default until release-grade independent holdout validation supports promotion.
feature_allocator_refined_holdout_recovery_scope	plan_refined_allocator_release_holdout_recovery.py consumes the refined independent-holdout inventory, CAMI3 source-readmap extension cache audit, and marine diagnostic audit. It ranks local recovery routes for the refined guarded abundance allocator without changing the default.
feature_allocator_refined_holdout_recovery_result	Top route CAMI3 source-readmap samples3-5 is now completed as a negative holdout: readmaps=3/3, selected-default candidate profiles=3/3, raw tables=3/3, baseline profiles=3/3. Candidate MinCO wins F1 on 0/3 and L1 on 0/3 versus the external baseline; refined allocator improved=0, worsened=0, mean_L1_delta_pp=0.000000000.
feature_allocator_refined_holdout_recovery_runtime	CAMI3 samples3-5 selected-default table-mode replay exit statuses were 0,0,0; wall times were 0:07.99, 0:08.67, and 0:08.28; max RSS was 1,601,816 KB.
feature_allocator_refined_holdout_recovery_decision	Do not promote guarded-genus-hit-breadth-a002-xny230 to default. The completed CAMI3 samples3-5 route gives no refined-allocator gain and favors the external baseline on F1 and abundance, so move to the HMP omitted-sample profile-pair recovery route for the next independent evidence step.
cami3_source_profile_binomial_extension_scope	score_cami3_source_profile_binomial_extension.py tests CAMI3 samples3-5 using local taxonomic_profile_{3,4,5}.txt strain/source rows, selected-default candidate-preset profiles, cached raw MinCO tables, and Sylph profiles. It uses deterministic GTDB transfer by unique species taxid, unique NCBI species name, then unique GTDB binomial.
cami3_source_profile_binomial_extension_result	Source-profile fallback is insufficient: mapped in-scope GTDB truth is sample3=62.728832%, sample4=77.004747%, sample5=67.403900%, below the 95% release threshold. In that diagnostic namespace Sylph beats MinCO on all three samples for F1 and L1, and the refined allocator is not applied because the guard does not pass.
cami3_source_profile_binomial_extension_decision	Do not use CAMI3 samples3-5 taxonomic-profile source rows as a release substitute for missing source-readmap truth. Keep the refined allocator opt-in and continue with per-read source-readmap truth recovery.
cami3_source_readmap_recovery_inputs_scope	audit_cami3_source_readmap_recovery_inputs.py checks exact CAMI3 samples3-5 sample_{3,4,5}_reads.tar.gz URLs from /tmp/cami3_toy_human_gut_20260626/downloads/CAMI3_toy_dataset_download.list, local archive/readmap/read candidates, selected-default candidate profiles, raw MinCO tables, and Sylph profiles. It does not download or extract data, and anonymous reads are recorded only as optional local context for this truth-rescore path.
cami3_source_readmap_recovery_inputs_result	Remote manifest URLs are present for 3/3 samples. Local reads_mapping.tsv.gz files are now 3/3 after stream-extracting only those members from the remote archives. Anonymous reads remain absent and are not required because profiling artifacts already exist. Rescoring artifacts are ready: candidate profiles=3/3, raw tables=3/3, Sylph profiles=3/3. Recovered readmap files are external under /mnt/new3T/minco_cami3_toygut_extra_20260621 and total 742M.
cami3_source_readmap_recovery_inputs_decision	Keep the refined allocator opt-in. The readmap-only recovery step is completed; results/cami3_source_readmap_readmap_only_recovery_commands.sh records the stream-extraction commands, and score_cami3_source_readmap_extension_after_recovery.py records the scored negative holdout.
cami3_source_readmap_extension_after_recovery_scope	score_cami3_source_readmap_extension_after_recovery.py is the post-recovery scorer for CAMI3 samples3-5. It checks readmap/profile/raw/Sylph inputs and, once readmaps are present, builds direct GTDB source-readmap truth, applies exact-binomial fallback only if the policy checks pass for all samples, and scores selected-default MinCO, guarded-genus-hit-breadth-a002-xny230 MinCO, and Sylph in the same namespace. It does not download data.
cami3_source_readmap_extension_after_recovery_result	Samples3-5 scored after readmap recovery. External baseline: mean_F1=0.784196, pooled_F1=0.783582, TP=210, FP=13, FN=103, mean_L1_union_pp=21.448926, Pearson_union=0.981150. MinCO candidate: mean_F1=0.706093, pooled_F1=0.709193, TP=189, FP=31, FN=124, mean_L1_union_pp=43.530195, Pearson_union=0.922077. Refined allocator matches candidate exactly for F1/L1/Pearson on this route.
cami3_source_readmap_extension_after_recovery_decision	Keep the refined allocator opt-in and do not promote it from this route. The completed samples3-5 extension is negative for allocator promotion; use it as evidence to move the next gap-closing work to another independent holdout route.
cami3_source_readmap_extension_after_recovery_test	tests/test_cami3_extension_after_recovery.py covers the clean missing-readmap blocker, exact-binomial fallback acceptance for an unmapped source, and rejection when fallback conflicts with prior WGS/unique-taxid mapping.
default_release_snapshot_scope	Generated from cached candidate_default_vs_current.tsv, candidate_default_vs_sylph.tsv, current_default_strategy_manifest.tsv, cached_exactsplit_pairwise_summary.tsv, feature_allocator_external_exactsplit_audit.tsv, and runtime_memory_minco_vs_sylph.tsv. No raw profiling rerun.
default_release_snapshot_result	Selected default=candidate; matched panels=4 with release=4 and diagnostic=0; candidate-vs-previous-MinCO regressions F1=0, L1=0, Pearson=0; candidate-vs-Sylph wins F1=1/4, L1=0/4, Pearson=0/4; exact-split diagnostics F1 wins 3/5 datasets and L1 wins 2/5 datasets.
default_release_snapshot_runtime	Cached timed runs over 7 comparable samples: MinCO mean seconds 265.27 vs Sylph 105.47, seconds_ratio=2.515; MinCO mean peak RSS 3.528 GiB vs Sylph 18.490 GiB, rss_ratio=0.191.
default_release_snapshot_decision	Use scripts/minco_profile_default.py --profile-preset candidate as the current stable MinCO default. Keep experimental allocators off. Do not claim broad Sylph-beating release readiness.
abundance_release_blocker_scope	validate_abundance_release_blocker.py uses cached candidate_default_vs_current.tsv, candidate_default_vs_sylph.tsv, candidate_preset_genus_xny_blend_audit.tsv, candidate_callset_oracle_feasibility_audit.tsv, candidate_callset_oracle_feasibility_summary.tsv, feature_allocator_release_candidate_audit.tsv, feature_allocator_combined_guard_audit.tsv, feature_allocator_refined_guard_parity_audit.tsv, feature_allocator_refined_score_replay_audit.tsv, feature_allocator_refined_marine_diagnostic_audit.tsv, and feature_allocator_refined_independent_holdout_inventory_audit.tsv. No raw profiling rerun.
abundance_release_blocker_result	Selected candidate has 0/4 regressions versus previous MinCO for F1/L1/Pearson, but loses abundance L1 and Pearson to the external baseline on 4/4 matched panels. Posthoc blend is not promoted due sample regressions; the oracle says allocation-only could close 31/32 cached samples and 1/32 needs call recovery; the refined feature-allocator guard score replay removes the two cached external sample regressions while preserving most selected-panel gain: switched=33/38, improved=33, worsened=0, mean_L1_delta_pp=-0.262955, unchanged F1. Independent marine diagnostic replay gives switched=2/2, improved=2, worsened=0, mean_L1_delta=-0.000521634, unchanged F1, but uses nonrelease partial GTDB-transfer truth. The holdout inventory found no unused release-grade profile set in the current cache.
abundance_release_blocker_decision	Expected gap: keep selected default, do not claim broad abundance superiority; next algorithmic target is creating or recovering release-grade independent holdout profile pairs for the refined output-only matched-call allocator/guard, plus high-confidence call recovery for the remaining insufficient-call case.
universal_strategy_release_gate_scope	Generated from repo-local code constants, README/manual/changelog text, current_default_strategy_manifest.tsv, default-contract regression test coverage, default_release_snapshot_audit.tsv, abundance_release_blocker_audit.tsv, feature_allocator_external_exactsplit_audit.tsv, and holdout_bundle_summary.tsv. No raw profiling rerun.
universal_strategy_release_gate_result	17 gates evaluated: pass=15, fail=0, expected_gap=2. Passing gates cover default entrypoint, universal-auto-exact strategy, candidate preset, default-contract regression coverage, candidate-vs-previous-MinCO support, Sylph claim boundary, allocator-off default, ANI reporting, docs boundary, runtime claim boundary, CAMI3 post-recovery runner readiness, next-evidence route contract, and current release decision.
universal_strategy_release_gate_expected_gap	release_grade_all_panels=false with release_grade_panels=4, and abundance_release_claim remains an expected gap because selected_default_L1_losses=4/4. The clean GTDB holdout bundle and broad abundance claim are not complete enough for broad universal or Sylph-beating release readiness.
universal_strategy_release_gate_decision	Current default is supported with expected release gaps. Keep the goal active; next evidence should target additional clean GTDB holdouts or an abundance strategy that improves L1/Pearson without F1/sample regressions.
universal_strategy_goal_completion_scope	audit_universal_strategy_goal_completion.py consumes objective_audit.tsv, universal_strategy_release_gate.tsv, abundance_release_blocker_audit.tsv, holdout_gap_action_plan_audit.tsv, current_default_strategy_manifest.tsv, CAMI3 post-recovery audit TSVs, and universal_strategy_next_evidence_routes_audit.tsv. No profiling rerun.
universal_strategy_goal_completion_result	Goal-level audit reports pass=6, expected_gap=3, fail=0. Current candidate default is supported; release-holdout and abundance evidence remain expected gaps. CAMI3 source-readmap samples3-5 are completed and negative for allocator promotion; the top next route is HMP omitted-sample profile-pair recovery.
universal_strategy_goal_completion_decision	goal_not_complete_expected_gaps_remain; keep scripts/minco_profile_default.py --profile-preset candidate as the current best MinCO default, but do not make a final universal or broad external-baseline superiority claim.
universal_strategy_next_evidence_routes_scope	audit_universal_strategy_next_evidence_routes.py consumes release-gate, holdout-inventory, CAMI3 readmap-recovery, marine-transfer, and abundance-blocker audits. No profiling rerun.
universal_strategy_next_evidence_routes_result	Completed route is cami3_source_readmap_samples3_5_completed. Top next route is hmp_airskin_omitted_samples_2_8_12_26_27, now explicitly marked truth_present_profiles_missing_headroom_blocked for sample26 with /tmp free 2.403 GiB, estimated requirement 6.503 GiB, alternate free 10.217 GiB, and recommended_action=free_tmp_space_before_next_sample. Routes ready without external restore are cami3_source_readmap_samples3_5_completed and current_default_candidate; remaining gap-closing routes require restored profiles/reads or stronger truth mapping.
universal_strategy_next_evidence_routes_decision	Expected gaps require input recovery or new same-namespace holdout evidence, not another local threshold sweep. Keep current default and refined allocator opt-in.
universal_strategy_next_evidence_routes_test	tests/test_universal_strategy_next_evidence_routes.py uses synthetic audit TSV fixtures to verify both states: before recovery, CAMI3 readmap recovery is the top route; after CAMI3 is scored negative, the completed route is recorded and the top next route moves to HMP omitted samples while external-restore routes are not treated as release evidence.
hmp_airskin_holdout_manifest_refresh	The HMP airskin release-grade row in holdout_bundle_manifest.tsv was refreshed from the older 6,11 panel to the cached 24-sample same-release r232 source-abundance panel: samples 0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28. All cached quality rows have same_release_ready=True and release_grade_candidate=True; min truth_mass_mapped_pct=96.9321.
holdout_gap_action_plan_scope	Generated from holdout_bundle_manifest.tsv, holdout_bundle_audit.tsv, holdout_bundle_summary.tsv, universal_strategy_release_gate.tsv, and default_release_snapshot_audit.tsv. It ranks the holdout/truth/profile coverage component of the release-gate expected gaps; the abundance gap is tracked in ABUNDANCE_RELEASE_BLOCKER.md. No raw profiling rerun.
holdout_gap_action_plan_result	8 manifest panels ranked: release=4, diagnostic=0, nonrelease=4. Top next actions are marine truth upgrade plus older CAMI3 panel replacement/extension; HMP airskin is retained as a 24-sample release-grade counterexample panel and CAMI3 source-readmap samples0-2 are release-grade.
holdout_gap_action_plan_decision	The next holdout evidence target is clean GTDB coverage for nonrelease panels, not local threshold sweeps. CAMI3 source-readmap samples0-2 are already promoted; extending beyond samples0-2 requires source-readmap truth and selected-default profiles in the same namespace. The abundance expected gap remains separate.
cami3_source_readmap_scope_audit_scope	Cached CAMI3 source-readmap source_genomes table plus CAMI taxonomic_profile_0/1/2 files. Separates GTDB profile-scope Bacteria/Archaea source rows from host, viral, fungal/eukaryotic, plasmid, and other out-of-scope rows. No raw profiling rerun.
